route_id,place_id,traveler_id,score,updated_at
route-01,grounds-for-sculpture,stivka,3,2026-09-02 20:35:02.603+00
route-01,grounds-for-sculpture,viki,4,2026-09-02 20:35:02.603+00
route-01,hawk-mountain-north-lookout,gora,4,2026-09-02 21:47:13.905+00
route-01,hawk-mountain-north-lookout,sheluvspaco,4,2026-09-02 21:46:59.141+00
route-01,hawk-mountain-north-lookout,stivka,4,2026-09-02 21:47:16.438+00
route-01,hawk-mountain-north-lookout,viki,5,2026-09-02 21:47:11.587+00
route-01,high-line-hudson-yards,gora,4,2026-09-02 21:16:12.292+00
route-01,high-line-hudson-yards,sheluvspaco,5,2026-09-02 21:13:57.622+00
route-01,high-line-hudson-yards,stivka,5,2026-09-02 21:16:14.657+00
route-01,high-line-hudson-yards,viki,4,2026-09-02 21:14:00.958+00
route-01,historic-bethlehem,gora,4,2026-09-02 20:35:02.603+00
route-01,historic-bethlehem,sheluvspaco,3,2026-09-02 20:35:02.603+00
route-01,historic-bethlehem,stivka,3,2026-09-02 20:35:02.603+00
route-01,historic-bethlehem,viki,2,2026-09-02 20:35:02.603+00
route-01,ifly-baltimore,gora,2,2026-09-02 21:42:33.189+00
route-01,ifly-baltimore,sheluvspaco,2,2026-09-02 21:40:35.182+00
route-01,ifly-baltimore,stivka,1,2026-09-02 21:41:38.071+00
route-01,ifly-baltimore,viki,1,2026-09-02 21:40:39.5+00
route-01,it-adventure-ropes,gora,4,2026-09-02 21:08:00.628+00
route-01,it-adventure-ropes,sheluvspaco,4,2026-09-02 21:07:11.794+00
route-01,it-adventure-ropes,stivka,4,2026-09-02 21:08:04.027+00
route-01,it-adventure-ropes,viki,4,2026-09-02 21:07:17.328+00
route-01,lehigh-valley-grand-prix,gora,3,2026-09-02 21:51:33.923+00
route-01,lehigh-valley-grand-prix,sheluvspaco,3,2026-09-02 21:51:10.024+00
route-01,lehigh-valley-grand-prix,viki,4,2026-09-02 21:50:57.273+00
route-01,level99-providence,gora,4,2026-09-02 20:59:33.641+00
route-01,level99-providence,sheluvspaco,3,2026-09-02 20:58:32.139+00
route-01,level99-providence,stivka,5,2026-09-02 20:59:35.592+00
route-01,level99-providence,viki,5,2026-09-02 20:58:40.939+00
route-01,lincoln-memorial,gora,4,2026-09-02 21:43:38.955+00
route-01,lincoln-memorial,sheluvspaco,4,2026-09-02 20:35:02.603+00
route-01,lincoln-memorial,stivka,3,2026-09-02 20:35:02.603+00
route-01,lincoln-memorial,viki,4,2026-09-02 20:35:02.603+00
route-01,lost-river-caverns,gora,2,2026-09-02 20:35:02.603+00
route-01,lost-river-caverns,sheluvspaco,4,2026-09-02 20:35:02.603+00
route-01,lost-river-caverns,stivka,2,2026-09-02 20:35:02.603+00
route-01,lost-river-caverns,viki,4,2026-09-02 20:35:02.603+00
route-01,magic-gardens,gora,2,2026-09-02 20:35:02.603+00
route-01,magic-gardens,sheluvspaco,4,2026-09-02 20:35:02.603+00
route-01,magic-gardens,stivka,3,2026-09-02 20:35:02.603+00
route-01,magic-gardens,viki,4,2026-09-02 20:35:02.603+00
route-01,ministry-of-awe,gora,4,2026-09-02 21:40:07.763+00
route-01,ministry-of-awe,sheluvspaco,5,2026-09-02 21:40:00.996+00
route-01,ministry-of-awe,stivka,4,2026-09-02 21:40:08.93+00
route-01,ministry-of-awe,viki,4,2026-09-02 21:40:03.013+00
route-01,morven-museum,gora,1,2026-09-02 20:35:02.603+00
route-01,morven-museum,sheluvspaco,1,2026-09-02 20:35:02.603+00
route-01,morven-museum,stivka,1,2026-09-02 20:35:02.603+00
route-01,morven-museum,viki,1,2026-09-02 20:35:02.603+00
route-01,museum-eldridge-street,gora,1,2026-09-02 20:35:02.603+00
